filename,trialnum,condition,target,face_up,target_up,analysis_p_len,ltcenteraoi,ftsideaoi,valid_gaze_percent,longest_nv_combined,pfix_center_bef_disengagement,aoi_border_violation,technical_error,combination,csaccpindex
TV11_SRT2.gazedata,10,3,6,484.3311,2400.3081,984.229,233.3601,466.5591,0.94828,16.6731,0.74611,0,0,233.3601,0.098071
TV11_SRT2.gazedata,11,4,3,487.2432,9820.511,1478.2261,-1,-1,0.091954,1141.0571,1,0,1,-1,-1
TV11_SRT3.gazedata,0,4,5,483.282,2317.4021,766.6809,216.731,250.0649,1,0,0.41315,0,1,-1,-1
TV11_SRT3.gazedata,1,2,5,486.802,11059.542,1472.302,-1,-1,0.090909,1335.5798,0.058894,0,1,-1,-1
TV11_SRT3.gazedata,2,4,3,483.3679,12495.5562,1483.2671,-1,-1,0.41573,866.592,0.40452,0,1,-1,-1
TV11_SRT3.gazedata,3,3,5,483.4209,7490.925,1480.1321,-1,-1,0.28409,1063.386,0.15767,0,1,-1,-1
TV11_SRT3.gazedata,4,3,4,483.283,4082.739,1477.8088,-1,-1,0.34483,994.5259,1,0,1,-1,-1
TV11_SRT3.gazedata,5,4,4,483.387,2233.3711,1483.3188,-1,-1,1,0,0,0,1,-1,-1
TV11_SRT3.gazedata,6,2,6,483.3179,2334.0542,1467.082,-1,-1,0.87356,133.2761,0,0,1,-1,-1
TV11_SRT3.gazedata,7,4,6,481.7949,2651.3269,1476.9629,-1,-1,0.43182,757.5688,0,0,1,-1,-1
TV11_SRT3.gazedata,8,2,3,486.853,2299.3359,770.1719,216.6331,249.969,1,0,0.95672,0,0,216.6331,0.078392
TV11_SRT3.gazedata,9,3,6,483.3191,2333.7632,1467.417,-1,-1,1,0,0,0,1,-1,-1
TV11_SRT3.gazedata,10,2,4,483.2649,4319.7588,1467.655,-1,-1,0.29545,1051.053,0.26114,0,1,-1,-1
